,Unnamed: 0,Player,Kind,numera,N,indice,promedio,desvest,zUSo,ID
46,47,874807326893128,C,31,31,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,760791662383499C
47,48,845030447613389,C,1,1,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,765625247183286C
48,49,355721802475635,D,2,2,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,781261847597636D
49,50,137619579400459,A,3,4,0.75,0.809965473255492,0.258003045341033,-0.23242157152148601,835804561913525A
50,51,137619579400459,C,5,6,0.833333333333333,0.809965473255492,0.258003045341033,0.0905720319965726,835804561913525C
51,52,849465825727611,B,2,4,0.5,0.809965473255492,0.258003045341033,-1.2014023820756599,843798347728775B
52,53,849465825727611,D,4,6,0.666666666666667,0.809965473255492,0.258003045341033,-0.5554151750395461,843798347728775D
53,54,843798347728775,A,2,2,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,849465825727611A
54,55,843798347728775,C,3,3,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,849465825727611C
55,56,322563841246444,B,3,6,0.5,0.809965473255492,0.258003045341033,-1.2014023820756599,864237546831637B
56,57,322563841246444,D,2,8,0.25,0.809965473255492,0.258003045341033,-2.1703831926298403,864237546831637D
57,58,760791662383499,B,27,28,0.9642857142857142,0.809965473255492,0.258003045341033,0.598133408953522,874807326893128B
58,59,760791662383499,D,33,36,0.916666666666667,0.809965473255492,0.258003045341033,0.41356563551463105,874807326893128D
59,60,362421570668147,A,2,2,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,916659229295256A
60,61,362421570668147,C,2,4,0.5,0.809965473255492,0.258003045341033,-1.2014023820756599,916659229295256C
61,62,180672638373464,B,8,12,0.666666666666667,0.809965473255492,0.258003045341033,-0.5554151750395461,919215741319732B
62,63,180672638373464,D,5,5,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,919215741319732D
63,64,563859218939246,B,8,12,0.666666666666667,0.809965473255492,0.258003045341033,-0.5554151750395461,939838105107843B
64,65,563859218939246,D,4,9,0.444444444444444,0.809965473255492,0.258003045341033,-1.4167314510876998,939838105107843D
65,66,402371639059063,A,34,36,0.944444444444444,0.809965473255492,0.258003045341033,0.521230170020651,943864992920336A
66,67,402371639059063,C,34,36,0.944444444444444,0.809965473255492,0.258003045341033,0.521230170020651,943864992920336C
67,68,153498218008918,B,22,23,0.956521739130435,0.809965473255492,0.258003045341033,0.568040837197181,951034904396380B
68,69,153498218008918,D,15,15,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,951034904396380D
